Type,Source,Year,State,Backup Status
Year in skip years,dict lookup,2026,NSW,Data taken from backup
Year in skip years,dict lookup,2026,QLD,Data taken from backup
Year in skip years,dict lookup,2026,SA,Data taken from backup
Year in skip years,dict lookup,2026,VIC,Data taken from backup
Year in skip years,dict lookup,2026,WA,Data taken from backup
Year in skip years,dict lookup,2026,NT,Data taken from backup
Year in skip years,dict lookup,2026,ACT,Data taken from backup
404,https://tasmanianschoolholidays.com.au/tasmanian-school-holiday-dates-2025,2025,TAS,Data taken from backup
Year in skip years,dict lookup,2026,TAS,Data taken from backup
